"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\appaprv_complete.html", "HTML", 0, 42, 0, 0, 3, 45
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\appaprv_confirm.html", "HTML", 0, 232, 0, 0, 4, 236
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\appaprv_search.html", "HTML", 0, 105, 0, 0, 3, 108
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-grid.css", "CSS", 0, 0, 3855, 7, 1135, 4997
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-grid.min.css", "CSS", 0, 0, 1, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-grid.rtl.css", "CSS", 0, 0, 3855, 7, 1134, 4996
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 1, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-reboot.css", "CSS", 0, 0, 346, 16, 64, 426
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 7, 0, 8
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-reboot.rtl.css", "CSS", 0, 0, 352, 8, 63, 423
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 1, 7, 0, 8
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-utilities.css", "CSS", 0, 0, 3634, 9, 1109, 4752
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-utilities.min.css", "CSS", 0, 0, 1, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-utilities.rtl.css", "CSS", 0, 0, 3630, 7, 1106, 4743
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 1, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap.css", "CSS", 0, 0, 9077, 27, 1715, 10819
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap.min.css", "CSS", 0, 0, 2, 5, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap.rtl.css", "CSS", 0, 0, 9079, 7, 1709, 10795
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-5.0.0\bootstrap.rtl.min.css", "CSS", 0, 0, 2, 5, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.css", "CSS", 0, 0, 470, 6, 1, 477
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.min.css", "CSS", 0, 0, 1, 5, 1, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.standalone.css", "CSS", 0, 0, 503, 6, 1, 510
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.standalone.min.css", "CSS", 0, 0, 1, 5, 1, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker3.css", "CSS", 0, 0, 676, 6, 1, 683
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker3.min.css", "CSS", 0, 0, 1, 5, 1, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker3.standalone.css", "CSS", 0, 0, 705, 6, 1, 712
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker3.standalone.min.css", "CSS", 0, 0, 1, 5, 1, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\css\style.css", "CSS", 0, 0, 126, 5, 30, 161
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\cstregist_complete.html", "HTML", 0, 42, 0, 0, 3, 45
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\cstregist_confirm.html", "HTML", 0, 111, 0, 0, 4, 115
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\cstregist_input.html", "HTML", 0, 127, 0, 0, 3, 130
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\cstregist_search.html", "HTML", 0, 166, 0, 0, 4, 170
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\cstregist_searchresult.html", "HTML", 0, 60, 0, 0, 3, 63
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\index.html", "HTML", 0, 45, 0, 0, 3, 48
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\appaprv_complete.js", "JavaScript", 15, 0, 0, 3, 5, 23
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\appaprv_confirm.js", "JavaScript", 44, 0, 0, 14, 5, 63
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\appaprv_search.js", "JavaScript", 24, 0, 0, 2, 3, 29
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-5.0.0\bootstrap.bundle.js", "JavaScript", 4852, 0, 0, 550, 1313, 6715
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-5.0.0\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-5.0.0\bootstrap.esm.js", "JavaScript", 3448, 0, 0, 463, 1034, 4945
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-5.0.0\bootstrap.esm.min.js", "JavaScript", 1, 0, 0, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-5.0.0\bootstrap.js", "JavaScript", 3487, 0, 0, 469, 1038, 4994
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-5.0.0\bootstrap.min.js", "JavaScript", 1, 0, 0, 6, 0, 7
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.ja.min.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.js", "JavaScript", 1770, 0, 0, 90, 180, 2040
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\bootstrap-datepicker-1.9.0-dist\bootstrap-datepicker.min.js", "JavaScript", 2, 0, 0, 5, 1, 8
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\common.js", "JavaScript", 111, 0, 0, 13, 13, 137
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\cstregist_complete.js", "JavaScript", 15, 0, 0, 3, 5, 23
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\cstregist_confirm.js", "JavaScript", 50, 0, 0, 14, 5, 69
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\cstregist_input.js", "JavaScript", 59, 0, 0, 20, 7, 86
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\cstregist_search.js", "JavaScript", 32, 0, 0, 4, 3, 39
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\cstregist_searchresult.js", "JavaScript", 12, 0, 0, 2, 2, 16
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\custregist_search.js", "JavaScript", 13, 0, 0, 3, 3, 19
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\db\accessdb.js", "JavaScript", 423, 0, 0, 74, 49, 546
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\db\db_m_customer.js", "JavaScript", 71, 0, 0, 0, 1, 72
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\db\db_m_pref.js", "JavaScript", 49, 0, 0, 0, 0, 49
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\db\db_m_user.js", "JavaScript", 3, 0, 0, 0, 0, 3
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\index.js", "JavaScript", 15, 0, 0, 9, 3, 27
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\jquery\jquery-3.6.0.min.js", "JavaScript", 1, 0, 0, 1, 1, 3
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\js\main.js", "JavaScript", 15, 0, 0, 5, 2, 22
"c:\Users\kazua\OneDrive\デスクトップ\crmrpatest\main.html", "HTML", 0, 44, 0, 0, 4, 48
"Total", "-", 14515, 974, 36322, 1947, 11780, 65538